iter	Passed	Remaining
0	2	2071
1	4	2029
2	5	1968
3	8	1992
4	9	1973
5	11	1948
6	13	1935
7	15	1925
8	17	1915
9	19	1898
10	21	1921
11	23	1911
12	25	1918
13	27	1931
14	29	1915
15	31	1906
16	32	1898
17	34	1894
18	36	1894
19	38	1889
20	40	1890
21	42	1880
22	44	1879
23	46	1875
24	47	1867
25	49	1866
26	51	1864
27	53	1861
28	55	1854
29	57	1850
30	59	1847
31	60	1843
32	62	1841
33	64	1836
34	66	1831
35	68	1828
36	70	1825
37	71	1822
38	73	1821
39	75	1817
40	77	1815
41	79	1811
42	81	1810
43	83	1808
44	85	1805
45	87	1804
46	88	1799
47	90	1797
48	92	1794
49	94	1792
50	96	1789
51	98	1787
52	99	1784
53	101	1781
54	103	1779
55	105	1776
56	107	1771
57	108	1768
58	110	1766
59	112	1765
60	114	1760
61	116	1758
62	118	1755
63	119	1753
64	121	1750
65	123	1747
66	125	1745
67	127	1743
68	129	1742
69	131	1741
70	132	1739
71	134	1738
72	136	1736
73	138	1734
74	140	1731
75	142	1729
76	144	1727
77	146	1726
78	147	1724
79	149	1721
80	151	1719
81	153	1717
82	155	1714
83	156	1711
84	158	1709
85	160	1707
86	162	1704
87	164	1702
88	166	1700
89	168	1699
90	169	1696
91	171	1693
92	173	1692
93	175	1689
94	177	1687
95	178	1684
96	180	1682
97	182	1681
98	184	1679
99	186	1677
100	188	1674
101	189	1672
102	191	1670
103	193	1667
104	195	1665
105	197	1663
106	199	1661
107	200	1659
108	202	1658
109	204	1654
110	206	1651
111	207	1649
112	209	1647
113	211	1644
114	213	1642
115	215	1640
116	217	1639
117	219	1637
118	220	1634
119	222	1633
120	224	1631
121	226	1628
122	228	1626
123	230	1625
124	231	1623
125	233	1621
126	235	1618
127	237	1616
128	239	1614
129	241	1612
130	242	1610
131	244	1608
132	246	1606
133	248	1603
134	249	1601
135	251	1600
136	253	1598
137	255	1597
138	257	1595
139	259	1593
140	261	1591
141	263	1589
142	265	1588
143	266	1586
144	268	1585
145	270	1583
146	272	1581
147	274	1579
148	276	1578
149	278	1576
150	279	1573
151	281	1572
152	283	1570
153	285	1568
154	287	1567
155	289	1565
156	291	1563
157	292	1561
158	294	1559
159	296	1557
160	298	1555
161	300	1553
162	302	1551
163	304	1549
164	305	1547
165	307	1545
166	309	1542
167	311	1540
168	312	1538
169	314	1536
170	316	1534
171	318	1531
172	320	1529
173	321	1528
174	323	1526
175	325	1524
176	327	1522
177	329	1521
178	331	1519
179	333	1517
180	334	1515
181	336	1513
182	338	1511
183	340	1509
184	342	1508
185	344	1506
186	346	1504
187	347	1502
188	349	1500
189	351	1499
190	353	1497
191	355	1495
192	357	1493
193	359	1492
194	360	1490
195	362	1487
196	364	1485
197	366	1483
198	368	1482
199	370	1480
200	371	1478
201	373	1476
202	375	1475
203	377	1473
204	379	1471
205	381	1469
206	383	1467
207	384	1464
208	386	1462
209	388	1460
210	390	1458
211	391	1456
212	393	1455
213	395	1453
214	397	1451
215	399	1449
216	401	1448
217	403	1445
218	404	1443
219	406	1441
220	408	1440
221	410	1437
222	412	1436
223	413	1433
224	415	1432
225	417	1430
226	419	1428
